region,age,gender,income,children
Москва,44,Ж,111261,2
Москва,54,Ж,198965,0
Москва,36,Ж,166578,1
Москва,18,Ж,22454,0
Москва,42,М,256570,2
Москва,19,Ж,163887,1
Москва,36,Ж,91066,1
Москва,18,Ж,135232,2
Москва,18,М,36037,4
Москва,31,М,181370,0
Москва,39,М,174866,2
Москва,42,Ж,63090,3
Москва,52,М,129965,0
Москва,58,М,172669,0
Москва,18,М,158660,1
Москва,59,М,124445,3
Москва,37,М,191784,2
Москва,53,М,33528,0
Москва,22,М,101260,1
Москва,24,М,102242,0
Москва,30,М,96427,0
Москва,36,М,81885,1
Москва,36,Ж,110528,1
Москва,36,Ж,94741,1
Москва,30,Ж,34316,1
Москва,61,М,69057,0
Москва,46,Ж,108675,1
Москва,59,М,15000,0
Москва,35,М,141132,0
Москва,27,Ж,86952,3
Москва,39,Ж,56322,2
Москва,25,Ж,25032,1
Москва,38,М,151641,0
Москва,31,М,106440,0
Москва,26,Ж,75289,0
Москва,18,Ж,95078,0
Москва,43,Ж,102905,1
Москва,45,Ж,49346,2
Москва,28,М,178235,1
Москва,31,Ж,89597,1
Москва,37,Ж,35339,0
Москва,25,М,120926,2
Москва,49,Ж,22217,2
Москва,46,Ж,77817,1
Москва,40,М,149363,0
Москва,44,Ж,202808,0
Москва,29,М,179299,0
Москва,45,Ж,170095,2
Москва,34,М,222063,1
Москва,38,М,244586,2
Москва,41,М,190251,2
Москва,42,Ж,83082,3
Москва,22,Ж,15000,0
Москва,59,Ж,114122,0
Москва,56,М,93321,0
Москва,51,Ж,148413,2
Москва,23,Ж,23225,0
Москва,25,Ж,15000,0
Москва,40,Ж,266614,0
Москва,62,Ж,98416,1
Москва,64,М,164725,3
Москва,73,М,115437,0
Москва,52,М,85031,1
Москва,49,М,124399,2
Москва,34,М,53811,0
Москва,18,Ж,50742,0
Москва,63,М,151593,1
Москва,26,Ж,98127,2
Москва,27,Ж,148456,0
Москва,73,М,17573,1
Москва,18,М,137490,0
Москва,33,Ж,85713,2
Москва,22,М,177136,0
Москва,51,М,196293,0
Москва,48,М,52256,0
Москва,30,Ж,137362,0
Москва,34,Ж,85510,3
Москва,28,Ж,51758,0
Москва,18,Ж,159881,1
Москва,28,Ж,23492,0
Москва,20,Ж,159287,0
Москва,40,Ж,102197,0
Москва,37,Ж,174198,2
Москва,42,Ж,15000,1
Москва,19,М,78049,0
Москва,18,Ж,87111,0
Москва,31,М,175616,0
Москва,60,Ж,184229,0
Москва,35,М,192395,1
Москва,45,М,100455,1
Москва,18,М,24093,1
Москва,24,Ж,211942,2
Москва,29,Ж,115320,1
Москва,33,М,158551,2
Москва,18,Ж,29977,1
Москва,46,М,25786,0
Москва,36,М,181240,4
Москва,49,М,147550,1
Москва,49,М,128030,1
Москва,37,Ж,148890,1
Москва,18,М,102062,0
Москва,23,Ж,130675,0
Москва,43,Ж,15000,1
Москва,41,М,197377,0
Москва,39,Ж,171928,3
Москва,30,Ж,15000,4
Москва,25,М,191619,1
Москва,23,М,25932,0
Москва,37,М,158052,1
Москва,35,Ж,58464,2
Москва,54,Ж,187266,0
Москва,30,М,108064,2
Москва,32,Ж,37585,1
Москва,30,М,181975,2
Москва,29,Ж,84737,4
Москва,35,М,96102,0
Москва,37,М,251673,0
Москва,30,Ж,121427,1
Москва,54,М,140588,2
Москва,41,Ж,126333,5
Москва,57,М,158922,2
Москва,35,М,152802,1
Москва,43,Ж,132024,0
Москва,49,Ж,15000,1
Москва,47,Ж,219795,0
Москва,41,Ж,202647,1
Москва,40,М,168510,1
Москва,39,М,101992,1
Москва,43,М,112451,0
Москва,36,Ж,15000,2
Москва,20,Ж,43335,1
Москва,41,Ж,74155,2
Москва,47,М,114049,2
Москва,37,Ж,122600,0
Москва,20,Ж,140625,0
Москва,42,Ж,135405,3
Москва,55,Ж,119484,0
Москва,43,М,98556,0
Москва,27,Ж,107142,0
Москва,29,М,203745,0
Москва,35,Ж,66710,1
Москва,49,Ж,115527,0
Москва,24,М,69137,1
Москва,71,Ж,61643,1
Москва,40,М,21495,1
Москва,35,М,100087,3
Москва,57,М,175478,1
Москва,63,Ж,84475,2
Москва,39,Ж,165008,2
Москва,32,М,156272,0
Москва,23,Ж,22242,0
Москва,79,Ж,57202,0
Москва,22,Ж,87856,0
Москва,53,Ж,83355,2
Москва,18,Ж,174104,0
Москва,18,Ж,19633,1
Москва,58,Ж,172805,0
Москва,44,М,159640,0
Москва,37,М,214363,2
Москва,54,М,15617,2
Москва,19,Ж,123649,0
Москва,37,М,172622,0
Москва,39,М,67020,2
Москва,59,М,171013,0
Москва,33,Ж,232604,3
Москва,33,М,110943,2
Москва,36,Ж,45902,1
Москва,50,М,140789,2
Москва,53,М,57605,2
Москва,29,Ж,222841,0
Москва,50,Ж,119740,2
Москва,40,М,207039,3
Москва,22,Ж,151867,0
Москва,52,Ж,74857,3
Москва,54,Ж,16343,3
Москва,39,М,82279,1
Москва,60,М,69182,1
Москва,19,М,35941,0
Москва,53,М,212038,2
Москва,31,М,142803,1
Москва,52,Ж,236385,4
Москва,48,М,136871,1
Москва,35,М,177184,1
Москва,24,Ж,15000,0
Москва,50,Ж,15000,1
Москва,36,Ж,98446,0
Москва,63,М,97336,1
Москва,37,Ж,141149,1
Москва,44,Ж,116352,2
Москва,44,М,66217,3
Москва,27,Ж,161695,2
Москва,26,Ж,236708,0
Москва,46,М,144827,0
Москва,38,Ж,99179,1
Москва,58,Ж,15000,1
Москва,26,М,242347,3
Москва,42,Ж,75951,1
Москва,29,М,83114,1
Москва,27,Ж,110007,0
Москва,52,Ж,96512,1
Москва,55,Ж,17421,2
Москва,28,Ж,104653,1
Москва,24,Ж,91764,0
Москва,60,М,101593,3
Москва,22,Ж,35015,1
Москва,39,Ж,181623,0
Москва,30,Ж,129700,2
Москва,23,М,18615,0
Москва,39,М,186485,1
Москва,43,Ж,257579,3
Москва,31,Ж,177978,3
Москва,35,М,98655,1
Москва,38,Ж,118229,0
Москва,72,Ж,44991,0
Москва,18,М,75837,0
Москва,45,М,147239,1
Москва,24,Ж,45354,0
Москва,59,М,193125,0
Москва,35,М,233443,1
Москва,30,М,119344,1
Москва,32,Ж,118224,3
Москва,44,М,281320,0
Москва,36,М,203362,1
Москва,45,Ж,153549,0
Москва,29,М,15000,0
Москва,30,Ж,131508,0
Москва,37,М,178757,1
Москва,21,М,69594,1
Москва,18,М,15000,2
Москва,28,Ж,170394,1
Москва,36,Ж,163280,3
Москва,38,М,98794,2
Москва,32,М,155080,0
Москва,19,М,15000,1
Москва,31,М,117836,2
Москва,46,М,198669,0
Москва,41,Ж,52462,2
Москва,58,Ж,197956,2
Москва,45,М,131377,1
Москва,66,Ж,15000,0
Москва,34,Ж,91391,1
Москва,42,Ж,123953,1
Москва,34,Ж,204440,3
Москва,42,Ж,109818,0
Москва,36,Ж,102846,1
Москва,55,Ж,91276,1
Москва,18,Ж,58705,1
Москва,56,М,160390,1
Москва,49,Ж,34397,0
Москва,56,М,94631,2
Москва,30,Ж,41386,1
Москва,27,Ж,146896,1
Москва,31,Ж,58779,2
Москва,46,Ж,110323,1
Москва,18,Ж,129755,0
Москва,30,Ж,261491,0
Москва,59,Ж,210365,2
Москва,48,Ж,56928,0
Москва,35,Ж,80806,3
Москва,31,М,90837,0
Москва,44,Ж,26072,4
Москва,33,М,159699,2
Москва,20,М,92918,0
Москва,30,Ж,154286,2
Москва,52,Ж,78303,0
Москва,35,Ж,191429,0
Москва,40,Ж,85292,3
Москва,24,Ж,72107,0
Москва,36,М,131779,0
Москва,34,М,166041,2
Москва,37,М,99167,0
Москва,18,М,125042,1
Москва,41,Ж,113239,1
Москва,18,Ж,22256,1
Москва,22,Ж,88023,0
Москва,39,М,164874,0
Москва,32,М,111489,2
Москва,33,Ж,117138,1
Москва,22,М,15000,2
Москва,18,Ж,15000,0
Москва,38,Ж,64319,1
Москва,29,М,180148,0
Москва,54,Ж,43898,0
Москва,32,М,174684,2
Москва,37,Ж,63848,1
Москва,42,Ж,62892,3
Москва,18,Ж,66039,0
Москва,54,М,152204,2
Москва,51,М,159381,2
Москва,30,Ж,77056,1
Москва,66,М,19948,3
Москва,41,Ж,105298,1
Москва,35,М,203143,0
Москва,54,Ж,245373,1
Москва,26,Ж,143786,3
Москва,56,М,112915,1
Москва,31,М,203561,2
Москва,30,М,119357,2
Москва,18,Ж,128631,0
Москва,38,М,152132,1
Москва,31,М,156069,1
Москва,30,Ж,154651,2
Москва,52,Ж,15000,4
Москва,41,Ж,147022,0
Москва,18,Ж,15000,0
Москва,41,М,140193,1
Москва,42,М,155429,2
Москва,48,М,156922,2
Москва,30,Ж,156483,0
Москва,43,М,254291,1
Москва,18,Ж,36223,0
Москва,52,М,68162,5
Москва,36,Ж,97870,0
Москва,38,М,213712,2
Москва,51,Ж,120065,2
Москва,28,Ж,15000,2
Москва,60,Ж,168894,1
Москва,24,М,73809,0
Москва,43,Ж,116600,2
Москва,36,М,132938,1
Москва,31,Ж,66454,1
Москва,44,М,69596,0
Москва,35,М,144412,0
Москва,53,Ж,55348,1
Москва,35,М,184280,1
Москва,39,Ж,15000,3
Москва,28,М,53177,2
Москва,18,Ж,107702,2
Москва,31,М,152807,0
Москва,60,М,173810,1
Москва,25,М,125587,1
Москва,34,Ж,68999,2
Москва,36,Ж,109130,4
Москва,21,М,78513,0
Москва,36,Ж,15000,0
Москва,40,М,82339,4
Москва,21,М,127149,1
Москва,45,Ж,137321,2
Москва,18,Ж,124274,1
Москва,22,М,47351,0
Москва,33,М,190779,0
Москва,56,М,203741,0
Москва,18,Ж,15000,0
Москва,20,Ж,18452,0
Москва,26,Ж,133443,0
Москва,45,М,144385,0
Москва,36,М,121799,0
Москва,34,М,239918,1
Москва,36,Ж,121738,3
Москва,36,М,170863,1
Москва,40,Ж,37182,3
Москва,26,М,106749,1
Москва,38,М,173637,1
Москва,67,Ж,15000,2
Москва,53,Ж,207500,0
Москва,31,Ж,101643,1
Москва,41,Ж,214147,0
Москва,32,Ж,124807,1
Москва,43,Ж,106244,2
Москва,25,Ж,68774,1
Москва,76,Ж,46816,2
Москва,43,Ж,197515,0
Москва,54,Ж,77732,0
Москва,36,Ж,168213,2
Москва,65,Ж,48515,1
Москва,24,Ж,15000,0
Москва,51,М,150785,0
Москва,48,Ж,120970,0
Москва,49,Ж,135257,3
Москва,26,М,142558,1
Москва,26,Ж,89522,1
Москва,38,М,180516,0
Москва,58,Ж,90185,0
Москва,35,М,101425,0
Москва,50,Ж,52205,2
Москва,18,Ж,46048,1
Москва,57,М,41470,2
Москва,63,М,158336,1
Москва,49,Ж,123566,2
Москва,27,Ж,161394,1
Москва,30,Ж,117141,1
Москва,29,М,144922,1
Москва,49,М,67972,0
Москва,19,Ж,15000,0
Москва,41,М,155615,3
Москва,37,М,262901,2
Москва,45,Ж,59015,4
Москва,40,Ж,90919,0
Москва,43,Ж,100501,1
Москва,30,М,70757,0
Москва,31,Ж,195148,1
Москва,32,Ж,234228,0
Москва,51,М,216135,0
Москва,55,М,168603,1
Москва,25,Ж,146303,1
Москва,18,Ж,61141,0
Москва,18,М,15000,0
Москва,34,М,15000,2
Москва,45,Ж,105499,1
Москва,48,Ж,133091,1
Москва,34,М,155534,0
Москва,51,Ж,45466,1
Москва,40,Ж,111053,0
Москва,40,Ж,122637,1
Москва,32,М,133222,0
Москва,61,Ж,56546,0
Москва,45,М,147097,1
Москва,32,Ж,88937,2
Москва,44,М,212408,1
Москва,46,М,105793,3
Москва,26,М,269372,2
Москва,66,М,84407,0
Москва,35,Ж,190370,1
Москва,35,М,70071,0
Москва,44,М,166265,1
Москва,18,М,99730,0
Москва,40,Ж,68281,0
Москва,43,Ж,109148,0
Москва,63,М,72545,2
Москва,58,Ж,111336,0
Москва,20,М,108270,1
Москва,35,М,91624,2
Москва,27,Ж,15000,1
Москва,28,М,223278,4
Москва,28,Ж,155437,1
Москва,28,Ж,72137,0
Москва,18,М,73954,0
Москва,40,М,132635,3
Москва,60,М,126261,0
Москва,35,Ж,163299,1
Москва,43,М,64469,2
Москва,38,М,186578,2
Москва,52,Ж,134435,0
Москва,39,М,207151,1
Москва,42,М,114766,1
Москва,27,М,82608,0
Москва,55,Ж,139233,1
Москва,54,Ж,31130,0
Москва,48,Ж,74907,3
Москва,29,Ж,121714,1
Москва,43,Ж,192095,0
Москва,47,М,29815,2
Москва,65,М,270595,4
Москва,41,Ж,137864,1
Москва,30,М,176401,3
Москва,44,Ж,208469,1
Москва,44,Ж,75916,1
Москва,18,Ж,32578,1
Москва,63,Ж,65396,0
Москва,41,М,227205,0
Москва,22,Ж,15000,0
Москва,28,Ж,154325,3
Москва,32,Ж,116603,1
Москва,55,М,29094,1
Москва,30,Ж,15000,1
Москва,45,Ж,98790,2
Москва,59,М,90313,0
Москва,30,Ж,15000,0
Москва,19,Ж,58648,0
Москва,59,Ж,53198,1
Москва,18,М,32998,0
Москва,25,Ж,47762,2
Москва,30,Ж,91700,2
Москва,49,Ж,21104,1
Москва,47,Ж,15000,1
Москва,45,М,164435,3
Москва,38,М,128649,2
Москва,32,Ж,133227,1
Москва,37,М,133538,3
Москва,61,М,54453,2
Москва,49,М,61605,0
Москва,43,М,178076,1
Москва,25,М,94090,2
Москва,29,Ж,122364,5
Москва,57,Ж,130880,1
Москва,47,Ж,77441,1
Москва,49,Ж,73821,2
Москва,49,М,58960,3
Москва,30,М,195575,0
Москва,38,М,28819,2
Москва,31,Ж,194617,0
Москва,34,М,127214,0
Москва,49,Ж,110403,1
Москва,23,М,15000,0
Москва,18,М,103969,1
Москва,45,Ж,92702,1
Москва,47,Ж,90542,0
Москва,52,Ж,15000,0
Москва,43,Ж,158819,3
Москва,44,М,88417,1
Москва,39,М,248678,0
Москва,34,М,169497,0
Москва,39,Ж,16366,0
Москва,35,М,108424,0
Москва,39,Ж,134702,1
Москва,64,Ж,86376,0
Москва,18,Ж,54202,0
Москва,23,Ж,59141,0
Москва,25,Ж,83513,0
Москва,50,М,105922,1
Москва,37,Ж,62100,2
Москва,55,Ж,97921,2
Москва,34,М,229809,3
Москва,55,Ж,62561,0
Москва,49,Ж,15000,0
Москва,29,М,156677,3
Москва,22,М,30676,0
Москва,35,М,106943,3
Москва,47,Ж,21738,0
Москва,46,Ж,130100,0
Москва,44,Ж,195349,3
Москва,53,Ж,181571,0
Москва,40,Ж,100927,5
Москва,23,Ж,77875,1
Москва,29,М,83516,0
Москва,49,Ж,80595,0
Москва,41,М,115239,3
Москва,22,Ж,107414,0
Москва,21,М,18295,1
Москва,18,Ж,91072,1
Москва,28,М,178921,1
Москва,31,М,140016,0
Москва,33,Ж,137492,0
Москва,20,Ж,123879,1
Москва,42,М,162969,1
Москва,54,Ж,41324,2
Москва,36,М,113772,0
Москва,55,Ж,54145,0
Москва,21,М,113512,1
Москва,43,Ж,173458,3
Москва,62,М,54471,0
Москва,47,Ж,99549,1
Москва,46,Ж,143113,0
Москва,65,Ж,32655,1
Москва,38,Ж,31393,2
Москва,43,Ж,46681,0
Москва,32,Ж,217196,1
Москва,59,Ж,141238,3
Москва,22,Ж,35247,0
Москва,40,Ж,153916,1
Москва,36,М,116900,4
Москва,46,М,71741,2
Москва,41,Ж,157220,2
Москва,30,Ж,96212,3
Москва,28,М,133338,0
Москва,18,М,58145,0
Москва,18,Ж,26231,0
Москва,23,М,26328,0
Москва,57,М,51685,0
Москва,32,М,163923,1
Москва,37,М,93094,2
Москва,40,М,305582,1
Москва,26,М,142520,1
Москва,36,М,105866,3
Москва,32,Ж,156353,4
Москва,61,Ж,58515,2
Москва,34,М,207265,2
Москва,41,Ж,32693,2
Москва,18,Ж,105827,0
Москва,19,М,89451,0
Москва,44,М,118176,3
Москва,55,М,89208,0
Москва,54,Ж,101646,0
Москва,22,М,112881,1
Москва,42,Ж,130513,1
Москва,18,М,36922,0
Москва,24,М,31933,1
Москва,60,М,107653,1
Москва,30,Ж,191300,0
Москва,39,Ж,15000,2
Москва,18,Ж,157481,0
Москва,37,М,118545,0
Москва,30,Ж,127770,1
Москва,55,М,90770,1
Москва,27,Ж,153475,2
Москва,39,Ж,185752,0
Москва,35,Ж,104148,2
Москва,60,М,179126,4
Москва,50,Ж,178360,1
Москва,36,М,96039,2
Москва,31,Ж,38718,0
Москва,22,Ж,71903,0
Москва,18,Ж,54592,0
Москва,49,Ж,138960,3
Москва,24,М,176841,3
Москва,22,М,127438,0
Москва,26,Ж,15000,0
Москва,41,М,246760,1
Москва,18,М,191236,0
Москва,50,М,126345,4
Москва,48,М,137323,1
Москва,44,М,174382,2
Москва,40,Ж,67233,0
Москва,43,М,268845,0
Москва,18,Ж,88934,2
Москва,37,М,171039,0
Москва,39,М,125901,0
Москва,18,Ж,93191,0
Москва,44,Ж,134003,1
Москва,29,М,206302,0
Москва,18,Ж,15000,0
Москва,54,Ж,62210,1
Москва,43,М,132791,3
Москва,18,М,32505,0
Москва,38,Ж,134812,0
Москва,24,Ж,41603,1
Москва,34,Ж,70182,3
Москва,18,М,29433,0
Москва,62,Ж,15000,0
Москва,21,М,48259,1
Москва,21,Ж,36464,0
Москва,38,Ж,15000,1
Москва,41,Ж,149563,2
Москва,27,Ж,217083,1
Москва,40,Ж,183288,1
Москва,35,Ж,126599,1
Москва,47,М,15000,0
Москва,59,М,78470,3
Москва,28,Ж,159333,0
Москва,61,Ж,127236,0
Москва,19,М,106343,0
Москва,21,М,55011,0
Москва,43,М,159088,1
Москва,22,М,92661,0
Москва,32,Ж,77563,2
Москва,39,М,112801,0
Москва,35,Ж,109864,1
Москва,18,Ж,143696,0
Москва,51,М,58730,2
Москва,36,Ж,71830,1
Москва,46,Ж,57075,0
Москва,18,Ж,17398,0
Москва,47,М,73497,1
Москва,23,Ж,15000,0
Москва,56,Ж,108791,0
Москва,31,М,102323,2
Москва,36,Ж,83041,0
Москва,19,Ж,100561,1
Москва,31,М,58311,4
Москва,44,М,102248,1
Москва,50,Ж,199777,1
Москва,19,М,177999,0
Москва,54,М,132582,4
Москва,47,М,76545,1
Москва,50,М,147073,3
Москва,18,М,181660,1
Москва,23,Ж,99449,1
Москва,53,М,139526,2
Москва,35,Ж,140009,0
Москва,35,М,124697,1
Москва,20,М,83368,0
Москва,40,Ж,164274,1
Москва,40,М,96131,2
Москва,24,Ж,116198,1
Москва,46,Ж,153487,2
Москва,25,Ж,65266,2
Москва,25,Ж,178365,1
Москва,27,М,161228,2
Москва,19,М,26528,0
Москва,46,М,285958,1
Москва,18,М,162205,0
Москва,29,М,126717,2
Москва,55,М,140281,0
Москва,61,Ж,15000,0
Москва,42,М,87724,3
Москва,37,Ж,173000,1
Москва,67,Ж,15000,0
Москва,37,Ж,49061,1
Москва,54,М,256704,2
Москва,65,М,82831,0
Москва,49,Ж,104329,2
Москва,30,М,273840,2
Москва,32,Ж,98666,1
Москва,24,Ж,151708,0
Москва,47,М,111780,0
Москва,43,М,148629,0
Москва,39,М,16275,3
Москва,25,Ж,93637,1
Москва,28,Ж,225195,0
Москва,43,М,151863,2
Москва,18,М,15000,0
Москва,45,М,100303,0
Москва,68,Ж,134432,1
Москва,40,М,227443,2
Москва,27,М,117582,1
Москва,45,Ж,197346,0
Москва,69,Ж,38736,1
Москва,45,М,95188,1
Москва,47,Ж,97570,3
Москва,29,М,194656,2
Москва,39,Ж,72625,1
Москва,29,Ж,103366,2
Москва,41,Ж,191071,3
Москва,38,Ж,142607,0
Москва,53,М,236119,0
Москва,57,Ж,123253,0
Москва,29,М,158098,0
Москва,30,М,111110,0
Москва,42,Ж,15000,2
Москва,27,М,144567,3
Москва,40,Ж,27796,0
Москва,31,М,130880,0
Москва,38,М,80363,2
Москва,51,М,15000,0
Москва,54,М,203180,1
Москва,39,Ж,138445,1
Москва,33,М,131192,3
Москва,25,Ж,29269,1
Москва,38,М,147071,1
Москва,29,Ж,172674,1
Москва,44,Ж,136525,0
Москва,26,М,169463,1
Москва,40,М,144372,2
Москва,57,Ж,19875,1
Москва,58,М,231462,1
Москва,18,Ж,74321,0
Москва,54,Ж,52554,1
Москва,57,Ж,108787,1
Москва,32,М,107284,2
Москва,37,М,130326,1
Москва,46,М,127384,1
Москва,49,М,247234,2
Москва,51,Ж,101088,3
Москва,20,М,89217,0
Москва,26,Ж,44025,1
Москва,27,М,156000,0
Москва,18,М,77647,0
Москва,56,Ж,160953,1
Москва,70,Ж,15000,4
Москва,42,М,130351,0
Москва,66,М,84040,2
Москва,19,Ж,29087,0
Москва,35,Ж,131749,3
Москва,43,Ж,58711,1
Москва,18,М,74816,0
Москва,26,М,189841,0
Москва,46,Ж,51942,3
Москва,18,М,15000,0
Москва,33,М,116757,2
Москва,30,Ж,133392,2
Москва,69,Ж,63529,0
Москва,51,Ж,53088,0
Москва,36,Ж,128439,3
Москва,52,Ж,142338,1
Москва,35,Ж,216390,1
Москва,40,М,217752,2
Москва,55,Ж,80897,1
Москва,44,Ж,164239,2
Москва,34,Ж,52311,0
Москва,39,Ж,119237,0
Москва,51,М,76220,0
Москва,38,Ж,92149,1
Москва,41,М,16044,2
Москва,35,Ж,101619,1
Москва,57,М,97084,2
Москва,18,Ж,36869,0
Москва,50,Ж,15000,2
Москва,18,М,47481,2
Москва,40,Ж,90696,1
Москва,18,М,82708,0
Москва,29,М,163746,1
Москва,36,Ж,80772,1
Москва,39,Ж,230524,1
Москва,35,Ж,198252,3
Москва,41,Ж,109056,0
Москва,24,М,150210,0
Москва,47,М,86824,1
Москва,23,М,24609,0
Москва,41,М,64452,1
Москва,18,М,66835,1
Москва,23,М,15000,0
Москва,32,Ж,125317,0
Москва,44,Ж,79930,0
Москва,35,Ж,121221,0
Москва,59,Ж,94118,3
Москва,24,М,15000,0
Москва,20,Ж,63567,0
Москва,38,Ж,15000,2
Москва,26,М,149860,1
Москва,36,М,168726,0
Москва,45,М,135951,1
Москва,37,Ж,118950,1
Москва,32,Ж,88141,4
Москва,20,Ж,15000,0
Москва,42,Ж,42937,1
Москва,29,М,101412,2
Москва,53,М,92223,2
Москва,56,М,53570,1
Москва,39,М,109334,1
Москва,31,М,96639,1
Москва,23,М,69272,1
Москва,42,Ж,207217,2
Москва,22,Ж,15000,0
Москва,51,М,134580,1
Москва,48,Ж,40037,1
Москва,37,Ж,140177,2
Москва,47,М,154954,2
Москва,57,Ж,132632,1
Москва,36,Ж,73858,2
Москва,22,Ж,83274,0
Москва,28,Ж,52160,1
Москва,36,Ж,140899,3
Москва,23,М,63206,0
Москва,48,Ж,18752,1
Москва,47,Ж,181681,3
Москва,30,Ж,119793,0
Москва,52,Ж,57023,1
Москва,32,Ж,162808,0
Москва,45,М,169691,1
Москва,42,Ж,218286,0
Москва,46,Ж,15000,3
Москва,38,М,190130,0
Москва,29,М,165786,2
Москва,32,Ж,41863,5
Москва,53,Ж,180482,2
Москва,18,Ж,59410,0
Москва,36,Ж,58440,1
Москва,18,Ж,99065,1
Москва,54,М,68471,1
Москва,61,Ж,84638,0
Москва,38,Ж,136357,0
Москва,18,М,34206,0
Москва,31,М,181999,2
Москва,24,М,83920,0
Москва,36,Ж,73252,0
Москва,30,М,138714,2
Москва,28,М,124905,0
Москва,60,М,168127,1
Москва,60,М,113215,0
Москва,50,Ж,88175,1
Москва,51,Ж,65093,1
Москва,57,М,22027,3
Москва,58,М,146918,3
Москва,32,М,97949,3
Москва,46,Ж,47716,0
Москва,31,М,150788,1
Москва,33,Ж,86302,1
Москва,56,Ж,76540,0
Москва,50,М,124788,1
Москва,40,М,169043,2
Москва,52,Ж,136215,0
Москва,47,М,168672,1
Москва,56,Ж,143171,1
Москва,52,М,108786,1
Москва,54,М,73357,2
Москва,34,М,30599,1
Москва,39,Ж,69874,0
Москва,61,М,144001,1
Москва,34,Ж,108137,1
Москва,40,М,141457,3
Москва,43,М,162699,1
Москва,27,Ж,105928,2
Москва,41,М,219749,2
Москва,54,М,114120,0
Москва,32,Ж,64736,1
Москва,31,Ж,50025,2
Москва,63,Ж,42427,0
Москва,41,М,113447,0
Москва,31,Ж,129568,1
Москва,35,Ж,164190,1
Москва,53,Ж,15000,2
Москва,41,М,78587,1
Москва,26,М,152961,1
Москва,26,М,76436,3
Москва,49,М,128790,2
Москва,33,М,145485,2
Москва,65,М,220829,0
Москва,73,М,81566,2
Москва,56,М,83400,1
Москва,58,Ж,69161,2
Москва,29,М,185921,1
Москва,18,Ж,89484,0
Москва,52,Ж,101927,2
Москва,18,Ж,15000,0
Москва,27,Ж,33224,2
Москва,65,М,100266,1
Москва,36,М,112576,1
Москва,23,М,36818,1
Москва,67,Ж,15000,0
Москва,54,Ж,148386,0
Москва,31,Ж,119141,1
Москва,36,М,216305,0
Москва,30,Ж,40788,1
Москва,24,М,24448,0
Москва,24,М,114205,0
Москва,29,М,187917,1
Москва,59,Ж,91962,1
Москва,22,М,139674,1
Москва,18,Ж,15000,1
Москва,29,М,198031,3
Москва,53,Ж,186245,0
Москва,43,М,237412,1
Москва,51,Ж,101513,2
Москва,37,М,49069,0
Москва,18,М,74849,0
Москва,43,М,186952,3
Москва,52,Ж,116733,2
Москва,39,М,124564,1
Москва,22,Ж,62120,1
Москва,39,Ж,171235,0
Москва,50,Ж,111671,1
Москва,29,М,119738,2
Москва,45,М,193195,1
Москва,18,Ж,127323,0
Москва,42,М,134126,5
Москва,44,Ж,172315,0
Москва,36,М,194812,2
Москва,28,М,140335,3
Москва,27,Ж,110615,1
Москва,57,Ж,24836,1
Москва,27,Ж,85528,0
Москва,52,Ж,105875,1
