region,city,age,gender,education,marital_status,occupation,income,children,age_group_check
Московская область,Москва,46,Женский,бакалавриат,Замужем,Кассир,112795,2,45-54
Московская область,Москва,45,Женский,среднего профессионального образования,Замужем,Плотник,114695,0,45-54
Московская область,Москва,21,Мужской,среднего профессионального образования,Разведен,Студент,11810,0,18-24
Московская область,Москва,18,Женский,среднего профессионального образования,Не замужем,Студент,6815,1,18-24
Московская область,Москва,72,Мужской,среднего профессионального образования,Не женат,Пенсионер,17959,0,65+
Московская область,Москва,48,Женский,среднего профессионального образования,Замужем,Бухгалтер,39216,0,45-54
Московская область,Москва,39,Мужской,среднего профессионального образования,Женат,Каменщик,173936,2,35-44
Московская область,Москва,64,Женский,среднего профессионального образования,Замужем,Кассир,48181,0,55-64
Московская область,Москва,38,Мужской,среднего профессионального образования,Женат,Пенсионер,75454,1,35-44
Московская область,Москва,49,Мужской,среднего профессионального образования,Вдовец,Социальный работник,152676,1,45-54
Московская область,Москва,22,Женский,среднего профессионального образования,Не замужем,Студент,8027,1,18-24
Московская область,Москва,18,Мужской,среднего профессионального образования,Женат,Юрист,58435,0,18-24
Московская область,Москва,33,Мужской,среднего профессионального образования,Женат,Продавец-консультант,82861,0,25-34
Московская область,Москва,56,Мужской,среднего профессионального образования,Вдовец,Водитель,129122,1,55-64
Московская область,Москва,62,Женский,среднего профессионального образования,Замужем,Слесарь,106061,3,55-64
Московская область,Москва,76,Мужской,среднего профессионального образования,Женат,Пенсионер,37821,0,65+
Московская область,Москва,52,Женский,среднего профессионального образования,Разведена,Пенсионер,60240,2,45-54
Московская область,Москва,52,Мужской,среднего профессионального образования,Женат,Военнослужащий,86444,0,45-54
Московская область,Москва,24,Женский,среднего профессионального образования,Не замужем,Электрик,75104,0,18-24
Московская область,Москва,55,Мужской,среднего профессионального образования,Женат,Пенсионер,34278,3,55-64
Московская область,Москва,38,Мужской,среднего профессионального образования,Женат,Военнослужащий,154200,2,35-44
Московская область,Москва,66,Мужской,среднего профессионального образования,Вдовец,Пенсионер,29606,1,65+
Московская область,Москва,69,Мужской,среднего профессионального образования,Не женат,Пенсионер,21557,0,65+
Московская область,Москва,27,Мужской,среднего профессионального образования,Женат,Каменщик,122662,2,25-34
Московская область,Москва,37,Женский,среднего профессионального образования,Замужем,Медсестра,68830,2,35-44
Московская область,Москва,56,Женский,среднего профессионального образования,Замужем,Кладовщик,66354,1,55-64
Московская область,Москва,49,Женский,среднего профессионального образования,Разведена,Отделочник,53378,2,45-54
Московская область,Москва,67,Женский,среднего профессионального образования,Не замужем,Продавец-консультант,25522,4,65+
Московская область,Москва,19,Женский,среднего профессионального образования,Не замужем,Студент,17547,0,18-24
Московская область,Москва,41,Мужской,среднего профессионального образования,Женат,Медсестра,218252,0,35-44
Московская область,Москва,53,Мужской,специалитет,Женат,Бармен,182296,2,45-54
Московская область,Москва,20,Женский,среднего профессионального образования,Замужем,Механик,29487,0,18-24
Московская область,Москва,31,Женский,среднего профессионального образования,Разведена,Плотник,104004,0,25-34
Московская область,Москва,74,Женский,среднего профессионального образования,Не замужем,Пенсионер,17936,2,65+
Московская область,Москва,35,Мужской,среднего профессионального образования,Женат,Оператор станков с ЧПУ,108420,2,35-44
Московская область,Москва,41,Женский,среднего профессионального образования,Вдова,Юрист,52097,1,35-44
Московская область,Москва,25,Женский,среднего профессионального образования,Замужем,Социальный работник,37438,0,25-34
Московская область,Москва,59,Женский,среднего профессионального образования,Замужем,Студент,15650,2,55-64
Московская область,Москва,21,Женский,среднего профессионального образования,Не замужем,Прораб,50098,0,18-24
Московская область,Москва,49,Мужской,среднего профессионального образования,Разведен,Учитель,60427,1,45-54
Московская область,Москва,18,Женский,среднего профессионального образования,Не замужем,Студент,15086,0,18-24
Московская область,Москва,64,Мужской,среднего профессионального образования,Разведен,Пенсионер,51040,2,55-64
Московская область,Москва,24,Женский,среднего профессионального образования,Не замужем,Электромонтер,52489,0,18-24
Московская область,Москва,19,Женский,среднего профессионального образования,Не замужем,Студент,10028,0,18-24
Московская область,Москва,53,Женский,среднего профессионального образования,Замужем,Оператор станков с ЧПУ,106878,2,45-54
Московская область,Москва,34,Женский,среднего профессионального образования,Не замужем,Пенсионер,38573,0,25-34
Московская область,Москва,21,Женский,среднего профессионального образования,Вдова,Студент,11719,0,18-24
Московская область,Москва,69,Мужской,среднего профессионального образования,Женат,Пенсионер,24596,1,65+
Московская область,Москва,52,Мужской,среднего профессионального образования,Разведен,Врач,180377,2,45-54
Московская область,Москва,23,Мужской,среднего профессионального образования,Не женат,Журналист,84299,0,18-24
Московская область,Москва,22,Мужской,бакалавриат,Не женат,Студент,18852,1,18-24
Московская область,Москва,52,Мужской,среднего профессионального образования,Женат,Экспедитор,186606,3,45-54
Московская область,Москва,18,Женский,среднего профессионального образования,Не замужем,Студент,7362,0,18-24
Московская область,Москва,40,Женский,среднего профессионального образования,Не замужем,Учитель,40620,0,35-44
Московская область,Москва,46,Мужской,среднего профессионального образования,Женат,Социальный работник,73421,2,45-54
Московская область,Москва,27,Мужской,среднего профессионального образования,Женат,Пенсионер,28552,0,25-34
Московская область,Москва,54,Мужской,среднего профессионального образования,Женат,Бухгалтер,129980,1,45-54
Московская область,Москва,49,Мужской,среднего профессионального образования,Женат,Слесарь,104415,2,45-54
Московская область,Москва,29,Женский,специалитет,Не замужем,Оператор станков с ЧПУ,105265,1,25-34
Московская область,Москва,82,Женский,среднего профессионального образования,Замужем,Пенсионер,6048,2,65+
Московская область,Москва,26,Женский,бакалавриат,Не замужем,Слесарь,163102,0,25-34
Московская область,Москва,36,Мужской,среднего профессионального образования,Разведен,Сварщик,185627,0,35-44
Московская область,Москва,39,Женский,среднего профессионального образования,Замужем,Бухгалтер,109863,2,35-44
Московская область,Москва,18,Женский,среднего профессионального образования,Замужем,Студент,12161,1,18-24
Московская область,Москва,63,Мужской,среднего профессионального образования,Женат,Фрезеровщик,78328,2,55-64
Московская область,Москва,27,Женский,специалитет,Разведена,Мастер участка,47369,0,25-34
Московская область,Москва,51,Женский,среднего профессионального образования,Разведена,Слесарь,30348,2,45-54
Московская область,Москва,32,Мужской,среднего профессионального образования,Женат,Водитель,161401,1,25-34
Московская область,Москва,38,Мужской,среднего профессионального образования,Вдовец,Врач,285528,0,35-44
Московская область,Москва,18,Мужской,среднего профессионального образования,Не женат,Студент,6441,1,18-24
Московская область,Москва,38,Женский,магистратура,Не замужем,Продавец-консультант,297386,0,35-44
Московская область,Москва,18,Женский,среднего профессионального образования,Не замужем,Студент,20247,0,18-24
Московская область,Москва,40,Женский,среднего профессионального образования,Замужем,Бухгалтер,112707,1,35-44
Московская область,Москва,65,Женский,среднего профессионального образования,Замужем,Пенсионер,17711,0,65+
Московская область,Москва,49,Мужской,среднего профессионального образования,Не женат,Врач,179609,0,45-54
Московская область,Москва,36,Женский,среднего профессионального образования,Замужем,Предприниматель,231934,2,35-44
Московская область,Москва,41,Женский,среднего профессионального образования,Замужем,Медсестра,135080,3,35-44
Московская область,Москва,36,Женский,среднего профессионального образования,Разведена,Токарь,88446,1,35-44
Московская область,Москва,23,Женский,среднего профессионального образования,Не замужем,Машинист,87622,1,18-24
Московская область,Москва,33,Мужской,среднего профессионального образования,Не женат,Уборщик,98358,1,25-34
Московская область,Москва,63,Женский,среднего профессионального образования,Замужем,HR-специалист,94966,0,55-64
Московская область,Москва,43,Женский,бакалавриат,Замужем,Пенсионер,46257,1,35-44
Московская область,Москва,23,Мужской,среднего профессионального образования,Не женат,Пенсионер,17042,0,18-24
Московская область,Москва,29,Мужской,среднего профессионального образования,Женат,Кассир,112398,0,25-34
Московская область,Москва,66,Женский,среднего профессионального образования,Разведена,Пенсионер,11861,3,65+
